Local Government Area,Country,Lat,Lng
Abbotsford,AU,-33.85,151.1333
Aberfeldie,AU,-37.7596,144.8975
Acheron,AU,-37.25,145.7
Adams Estate,N/A,N/A,N/A
Adelaide Lead,AU,-37.0667,143.6833
Agnes,N/A,N/A,N/A
Aireys Inlet,AU,-38.4667,144.1
Airly,AU,-33.0983,150.0511
Airport West,AU,-37.7223,144.8835
Albacutya,N/A,N/A,N/A
Albanvale,AU,-37.7461,144.7686
Albert Park,AU,-34.8753,138.5227
Alberton,AU,-34.8566,138.5137
Albion,AU,-27.4304,153.0421
Alexandra,AU,-37.1833,145.7
Alfredton,AU,-37.5667,143.8167
Allans Flat,N/A,N/A,N/A
Allansford,AU,-38.4,142.5833
Allendale,AU,-37.3667,143.9333
Alma,N/A,N/A,N/A
Almurta,AU,-38.45,145.5667
Alphington,AU,-37.7804,145.0309
Altona,AU,-37.8696,144.8304
Altona Meadows,AU,-37.8814,144.7845
Altona North,AU,-37.8378,144.8343
Alvie,AU,-38.2333,143.5
Amherst,AU,-37.1458,143.6686
Amphitheatre,AU,-37.1667,143.4167
Anakie,AU,-37.9167,144.25
Anglesea,AU,-38.4167,144.1667
Annuello,AU,-34.8546,142.8318
Apollo Bay,AU,-38.75,143.65
Appin,AU,-34.2,150.7833
Apsley,AU,-36.9667,141.0833
Ararat,AU,-37.2833,142.9333
Arcadia,AU,-33.6227,151.0606
Arcadia South,N/A,N/A,N/A
Archdale Junction,N/A,N/A,N/A
Archies Creek,AU,-38.55,145.5667
Ardeer,AU,-37.7759,144.8015
Ardmona,N/A,N/A,N/A
Argyle,AU,-36.95,144.7333
Armadale,AU,-32.15,116
Armstrong,AU,-37.2167,142.9
Armstrong Creek,AU,-27.2167,152.8333
Arnold,AU,-36.6833,143.8667
Arthurs Creek,AU,-37.5833,145.2
Arthurs Seat,AU,-38.3543,144.9537
Ascot,AU,-36.7,144.3333
Ascot Vale,AU,-37.7833,144.9167
Ashbourne,AU,-35.3,138.7667
Ashburton,AU,-37.8626,145.0794
Ashwood,AU,-37.8666,145.1055
Aspendale,AU,-38.0291,145.1027
Aspendale Gardens,AU,-38.0228,145.118
Athlone,AU,-38.2333,145.7667
Attwood,AU,-37.6696,144.8867
Avalon,AU,-38.0845,144.4259
Avenel,AU,-36.9,145.2333
Avoca,AU,-37.0833,143.4833
Avondale Heights,AU,-37.7615,144.8621
Avonsleigh,AU,-37.9333,145.4667
Axe Creek,N/A,N/A,N/A
Axedale,AU,-36.8,144.5167
Ayrford,N/A,N/A,N/A
Bacchus Marsh,AU,-37.6727,144.4383
Baddaginnie,AU,-36.5833,145.8667
Badger Creek,AU,-37.7,145.5167
Bagshot,AU,-36.65,144.4167
Bailieston,AU,-36.7333,145.05
Bairnsdale,AU,-37.8333,147.6167
Bakery Hill,AU,-37.5635,143.8658
Balaclava,AU,-37.8692,144.9977
Ballan,AU,-37.6,144.25
Ballangeich,AU,-38.2167,142.6667
Ballarat Central,AU,-37.5621,143.8508
Ballarat East,AU,-37.5592,143.8744
Ballarat North,AU,-37.5188,143.7728
Ballendella,AU,-36.3,144.65
Balliang,AU,-37.8333,144.3667
Balliang East,AU,-37.7833,144.45
Balmattum,AU,-36.7,145.65
Balmoral,AU,-37.25,141.85
Balnarring,AU,-38.3667,145.1333
Balnarring Beach,AU,-38.3912,145.1201
Balwyn,AU,-37.8092,145.0834
Balwyn North,AU,-37.7909,145.0939
Bamawm,N/A,N/A,N/A
Bamawm Extension,AU,-36.2167,144.6
Bambra,AU,-38.3667,143.9333
Bandiana,AU,-36.15,146.9333
Bangerang,AU,-36.2,142.5833
Bangholme,AU,-38.0484,145.1721
Bannerton,AU,-34.7,142.7833
Bannockburn,AU,-38.05,144.1667
Baranduda,AU,-36.2,146.9667
Barfold,AU,-37.0833,144.5167
Baringhup,AU,-36.9833,143.9667
Barjarg,N/A,N/A,N/A
Barkers Creek,AU,-37.0167,144.25
Barmah,AU,-36.0167,144.9667
Barnawartha,AU,-36.1,146.6667
Barnawartha North,N/A,N/A,N/A
Barongarook,AU,-38.4167,143.6
Barongarook West,N/A,N/A,N/A
Barrakee,N/A,N/A,N/A
Barramunga,N/A,N/A,N/A
Barraport,AU,-36.0167,143.6833
Barrys Reef,AU,-37.4667,144.3
Barwite,AU,-37,146.1667
Barwon Downs,AU,-38.4667,143.75
Barwon Heads,AU,-38.2667,144.5333
Bass,AU,-38.4842,145.4687
Batesford,AU,-38.1,144.2833
Baw Baw,AU,-37.97,146.144
Baxter,AU,-38.2,145.15
Bayles,AU,-38.1833,145.5667
Bayswater,AU,-37.85,145.2667
Bayswater North,AU,-37.827,145.2837
Beaconsfield,AU,-41.2,146.8167
Beaconsfield Upper,AU,-38,145.4167
Bealiba,AU,-36.8,143.55
Bearii,AU,-35.899,145.3391
Beaufort,AU,-37.4167,143.3833
Beaumaris,AU,-37.9822,145.0389
Beeac,AU,-38.2,143.6333
Beech Forest,AU,-38.6333,143.5667
Beechworth,AU,-36.3667,146.7167
Belgrave,AU,-37.9,145.35
Belgrave Heights,AU,-37.9167,145.35
Belgrave South,AU,-37.9333,145.3333
Bell Park,AU,-38.1077,144.3384
Bell Post Hill,AU,-38.0973,144.3236
Bellarine,AU,-38.1333,144.6167
Bellbrae,AU,-38.3333,144.2667
Bellbridge,AU,-36.0991,147.0621
Bellfield,N/A,N/A,N/A
Belmont,AU,-33.0333,151.6667
Bemm River,N/A,N/A,N/A
Bena,AU,-38.4167,145.7667
Benalla,AU,-36.55,145.9833
Bendigo,AU,-36.7667,144.2833
Benjeroop,N/A,N/A,N/A
Benloch,AU,-37.2167,144.7
Bentleigh,AU,-37.9181,145.0354
Bentleigh East,AU,-37.9201,145.0599
Benwerrin,N/A,N/A,N/A
Beremboke,AU,-37.7833,144.25
Berringa,AU,-37.7667,143.7
Berrys Creek,AU,-38.4167,146.0667
Berwick,AU,-38.0333,145.35
Bet Bet,AU,-36.9239,143.7573
Bete Bolong,N/A,N/A,N/A
Bethanga,AU,-36.1167,147.1
Beulah,AU,-35.9333,142.4333
Beverford,AU,-35.233,143.4806
Beveridge,AU,-37.4833,144.9833
Big Hill,AU,-34.5483,150.0011
Big Pats Creek,AU,-37.7833,145.75
Binginwarri,N/A,N/A,N/A
Birchip,AU,-35.9833,142.9333
Birdwoodton,N/A,N/A,N/A
Birregurra,AU,-38.3333,143.7833
Bittern,AU,-38.3333,145.1667
Black Hill,AU,-37.5501,143.8744
Black Range,AU,-36.7347,149.8475
Black Rock,AU,-37.9736,145.0164
Blackburn,AU,-37.819,145.1533
Blackburn North,AU,-37.8093,145.1518
Blackburn South,AU,-37.8397,145.1555
Blackwood,AU,-35.0167,138.6167
Blairgowrie,N/A,N/A,N/A
Blind Bight,AU,-38.2142,145.3378
Bobinawarrah,AU,-36.5167,146.5
Bochara,AU,-37.7,141.9333
Boho,AU,-36.7167,145.8333
Boisdale,AU,-37.8833,146.9833
Bolinda,AU,-37.4333,144.75
Bolwarra,AU,-32.7167,151.5667
Bona Vista,AU,-30.5267,151.6331
Bonbeach,AU,-38.0653,145.1228
Bonegilla,AU,-36.15,147
Boneo,AU,-38.4167,144.8833
Bonnie Doon,AU,-37.0167,145.8667
Bookaar,N/A,N/A,N/A
Boola,N/A,N/A,N/A
Boolarra,AU,-38.3833,146.2667
Boolarra South,AU,-38.45,146.2833
Boorolite,N/A,N/A,N/A
Boort,AU,-36.1167,143.7167
Boosey,N/A,N/A,N/A
Boralma,N/A,N/A,N/A
Boronia,AU,-37.8667,145.2833
Borung,AU,-36.3,143.75
Botanic Ridge,AU,-38.1414,145.2566
Boundary Bend,N/A,N/A,N/A
Bowenvale,AU,-37,143.7167
Boweya,AU,-36.2667,146.1333
Boweya North,N/A,N/A,N/A
Bowser,AU,-36.3183,146.3663
Box Hill,AU,-37.8189,145.1254
Box Hill North,AU,-37.8027,145.1266
Box Hill South,AU,-37.8324,145.121
Braeside,AU,-37.9995,145.1163
Brandy Creek,AU,-38.1,145.9
Branxholme,AU,-37.8667,141.8
Braybrook,AU,-37.7867,144.8548
Breakaway Creek,N/A,N/A,N/A
Breakwater,N/A,N/A,N/A
Breamlea,N/A,N/A,N/A
Brenanah,AU,-36.5474,143.7364
Briagolong,AU,-37.85,147.0667
Briar Hill,AU,-37.7064,145.1216
Bridgewater,AU,-42.7333,147.2333
Bridgewater On Loddon,N/A,N/A,N/A
Bright,AU,-36.75,146.9667
Brighton,N/A,N/A,N/A
Brighton East,AU,-37.9014,145.0188
Brim,AU,-36.0833,142.4167
Brimin,AU,-36.05,146.2333
Brimpaen,AU,-37.0333,142.2
Broadford,AU,-37.2,145.0667
Broadmeadows,AU,-37.6801,144.9188
Broadwater,AU,-38.1253,142.0497
Brodribb River,N/A,N/A,N/A
Bromley,AU,-36.8809,143.7567
Brookfield,AU,-37.7008,144.5603
Brooklyn,AU,-33.5482,151.2177
Broomfield,AU,-37.3859,143.9112
Brown Hill,AU,-37.5526,143.9012
Browns Plains,AU,-27.65,153.0333
Bruarong,AU,-36.4167,146.85
Brucknell,AU,-38.45,142.9333
Brunswick,AU,-37.7667,144.9667
Brunswick East,AU,-37.7689,144.9777
Brunswick West,AU,-37.7633,144.9426
Bruthen,AU,-37.7167,147.8167
Buangor,AU,-37.3667,143.1667
Buchan,AU,-37.5,148.1833
Buchan South,AU,-37.5667,148.1167
Buckland,AU,-42.6,147.7167
Buckley,AU,-38.2333,144.1
Buffalo,N/A,N/A,N/A
Buffalo River,AU,-36.6333,146.6833
Bulga,AU,-32.6667,151.0167
Bulla,AU,-37.6333,144.8
Bullarook,N/A,N/A,N/A
Bullarto,AU,-37.4,144.2333
Bulleen,AU,-37.7667,145.0833
Bullengarook,AU,-37.5167,144.4833
Bullumwaal,AU,-37.6333,147.5333
Buln Buln,AU,-38.1,145.9333
Bumberrah,N/A,N/A,N/A
Bunbartha,N/A,N/A,N/A
Bundalaguah,AU,-38.0333,147.0167
Bundalong,AU,-36.0333,146.1667
Bundalong South,N/A,N/A,N/A
Bundoora,AU,-37.6982,145.0597
Bungalally,AU,-36.8,142.25
Bungaree,AU,-37.5667,144
Bungeet,AU,-36.3,146.05
Bungil,AU,-36.0667,147.35
Buninyong,AU,-37.6667,143.9167
Bunkers Hill,AU,-31.565,151.1344
Bunyip,AU,-38.1,145.7167
Burkes Flat,N/A,N/A,N/A
Burnewang,N/A,N/A,N/A
Burnley,AU,-37.8296,145.0175
Burnside,AU,-34.9333,138.65
