Year,Year ending,Local Government Area,Location Division,Location Subdivision,Location Group,Offence Count
2021,December,Alpine,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,5
2021,December,Alpine,1 Residential,11 Dwelling - private,112 House,207
2021,December,Alpine,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,5
2021,December,Alpine,1 Residential,11 Dwelling - private,116 Ministry Of Housing,1
2021,December,Alpine,1 Residential,11 Dwelling - private,117 Farm House,8
2021,December,Alpine,1 Residential,12 Dwelling  - non-private,122 Holiday Home,6
2021,December,Alpine,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,5
2021,December,Alpine,1 Residential,13 Grounds/surrounding land,1310 Farm Building,5
2021,December,Alpine,1 Residential,13 Grounds/surrounding land,132 Backyard,3
2021,December,Alpine,1 Residential,13 Grounds/surrounding land,133 Frontyard,12
2021,December,Alpine,1 Residential,13 Grounds/surrounding land,134 Garage,4
2021,December,Alpine,1 Residential,13 Grounds/surrounding land,135 Shed,4
2021,December,Alpine,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),2
2021,December,Alpine,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,10
2021,December,Alpine,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,2
2021,December,Alpine,2 Community,21 Education,211 School,14
2021,December,Alpine,2 Community,21 Education,212 School Grounds,2
2021,December,Alpine,2 Community,22 Health,221 Hospital,8
2021,December,Alpine,2 Community,22 Health,222 Medical Centre,1
2021,December,Alpine,2 Community,25 Other Transport,255 Carpark (Single Level),6
2021,December,Alpine,2 Community,25 Other Transport,257 Other Transport Type/Area,1
2021,December,Alpine,2 Community,26 Justice,261 Police Station,2
2021,December,Alpine,2 Community,26 Justice,262 Court,10
2021,December,Alpine,2 Community,27 Open Space,271 Parkland/Reserve,26
2021,December,Alpine,2 Community,27 Open Space,272 Rural,9
2021,December,Alpine,2 Community,27 Open Space,275 Other Open Space,10
2021,December,Alpine,2 Community,28 Street/footpath,281 Street/Lane/Footpath,84
2021,December,Alpine,2 Community,29 Other community location,292 Civic Centre,1
2021,December,Alpine,2 Community,29 Other community location,294 Car Wash,1
2021,December,Alpine,3 Other,31 Admin/professional,311 Business Office,2
2021,December,Alpine,3 Other,32 Financial,321 Bank,1
2021,December,Alpine,3 Other,33 Retail,3311 Restaurant/Fastfood,1
2021,December,Alpine,3 Other,33 Retail,3312 Other Retail,14
2021,December,Alpine,3 Other,33 Retail,332 Service Station,1
2021,December,Alpine,3 Other,33 Retail,334 2nd Hand Dealer,1
2021,December,Alpine,3 Other,33 Retail,335 Supermarket,11
2021,December,Alpine,3 Other,37 Agricultural,371 Farmland/Agricultural,9
2021,December,Alpine,3 Other,37 Agricultural,373 Other Agricultural,4
2021,December,Alpine,3 Other,38 Recreational,381 Licensed Premises,18
2021,December,Alpine,3 Other,38 Recreational,384 Sport Area/Facility,6
2021,December,Alpine,3 Other,38 Recreational,385 Gaming Venue,1
2021,December,Alpine,3 Other,38 Recreational,386 Other Rec./Sports,2
2021,December,Alpine,3 Other,39 Other location,392 Other Location (Not Elsewhere),5
2021,December,Ararat,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,52
2021,December,Ararat,1 Residential,11 Dwelling - private,112 House,680
2021,December,Ararat,1 Residential,11 Dwelling - private,113 Bungalow,2
2021,December,Ararat,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,3
2021,December,Ararat,1 Residential,11 Dwelling - private,117 Farm House,12
2021,December,Ararat,1 Residential,12 Dwelling  - non-private,122 Holiday Home,1
2021,December,Ararat,1 Residential,12 Dwelling  - non-private,123 Guest House,4
2021,December,Ararat,1 Residential,12 Dwelling  - non-private,124 Nursing Home,4
2021,December,Ararat,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,3
2021,December,Ararat,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,6
2021,December,Ararat,1 Residential,13 Grounds/surrounding land,1310 Farm Building,1
2021,December,Ararat,1 Residential,13 Grounds/surrounding land,132 Backyard,16
2021,December,Ararat,1 Residential,13 Grounds/surrounding land,133 Frontyard,27
2021,December,Ararat,1 Residential,13 Grounds/surrounding land,134 Garage,7
2021,December,Ararat,1 Residential,13 Grounds/surrounding land,135 Shed,14
2021,December,Ararat,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,1
2021,December,Ararat,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),5
2021,December,Ararat,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,25
2021,December,Ararat,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,3
2021,December,Ararat,2 Community,21 Education,211 School,9
2021,December,Ararat,2 Community,21 Education,212 School Grounds,6
2021,December,Ararat,2 Community,21 Education,213 Other Educational,2
2021,December,Ararat,2 Community,22 Health,221 Hospital,8
2021,December,Ararat,2 Community,22 Health,222 Medical Centre,3
2021,December,Ararat,2 Community,22 Health,224 Other Health,4
2021,December,Ararat,2 Community,24 Public Transport,242 Train Station,4
2021,December,Ararat,2 Community,24 Public Transport,243 Railway Carpark,2
2021,December,Ararat,2 Community,24 Public Transport,245 Bus/Bus Stop,7
2021,December,Ararat,2 Community,24 Public Transport,247 Freight Yard,1
2021,December,Ararat,2 Community,25 Other Transport,251 Private Car,2
2021,December,Ararat,2 Community,25 Other Transport,255 Carpark (Single Level),10
2021,December,Ararat,2 Community,26 Justice,261 Police Station,24
2021,December,Ararat,2 Community,26 Justice,262 Court,31
2021,December,Ararat,2 Community,26 Justice,265 Other Justice Facility,18
2021,December,Ararat,2 Community,26 Justice,269 Other Justice (nec),1
2021,December,Ararat,2 Community,27 Open Space,271 Parkland/Reserve,33
2021,December,Ararat,2 Community,27 Open Space,272 Rural,15
2021,December,Ararat,2 Community,27 Open Space,273 Vacant Block,1
2021,December,Ararat,2 Community,27 Open Space,275 Other Open Space,9
2021,December,Ararat,2 Community,28 Street/footpath,281 Street/Lane/Footpath,231
2021,December,Ararat,2 Community,29 Other community location,291 Cemetery,2
2021,December,Ararat,2 Community,29 Other community location,292 Civic Centre,5
2021,December,Ararat,2 Community,29 Other community location,294 Car Wash,1
2021,December,Ararat,3 Other,31 Admin/professional,311 Business Office,1
2021,December,Ararat,3 Other,31 Admin/professional,312 Other Admin/Professional,6
2021,December,Ararat,3 Other,32 Financial,321 Bank,1
2021,December,Ararat,3 Other,33 Retail,331 Chemist/Pharmacy,1
2021,December,Ararat,3 Other,33 Retail,3310 24Hr Convenience,2
2021,December,Ararat,3 Other,33 Retail,3311 Restaurant/Fastfood,23
2021,December,Ararat,3 Other,33 Retail,3312 Other Retail,12
2021,December,Ararat,3 Other,33 Retail,332 Service Station,33
2021,December,Ararat,3 Other,33 Retail,334 2nd Hand Dealer,1
2021,December,Ararat,3 Other,33 Retail,335 Supermarket,20
2021,December,Ararat,3 Other,33 Retail,336 Department Store,2
2021,December,Ararat,3 Other,33 Retail,337 Shopping Complex,8
2021,December,Ararat,3 Other,33 Retail,338 Car Sales Yard,2
2021,December,Ararat,3 Other,34 Wholesale,341 Any Wholesale,1
2021,December,Ararat,3 Other,35 Warehousing/storage,351 Warehousing/Storage,23
2021,December,Ararat,3 Other,36 Manufacturing,361 Factory,2
2021,December,Ararat,3 Other,36 Manufacturing,362 Any Manufacturing,1
2021,December,Ararat,3 Other,37 Agricultural,371 Farmland/Agricultural,19
2021,December,Ararat,3 Other,38 Recreational,381 Licensed Premises,20
2021,December,Ararat,3 Other,38 Recreational,384 Sport Area/Facility,17
2021,December,Ararat,3 Other,38 Recreational,385 Gaming Venue,1
2021,December,Ararat,3 Other,38 Recreational,386 Other Rec./Sports,12
2021,December,Ararat,3 Other,39 Other location,392 Other Location (Not Elsewhere),32
2021,December,Ararat,3 Other,39 Other location,393 Construction Site,1
2021,December,Ballarat,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,355
2021,December,Ballarat,1 Residential,11 Dwelling - private,112 House,"3,263"
2021,December,Ballarat,1 Residential,11 Dwelling - private,113 Bungalow,14
2021,December,Ballarat,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,10
2021,December,Ballarat,1 Residential,11 Dwelling - private,116 Ministry Of Housing,16
2021,December,Ballarat,1 Residential,11 Dwelling - private,117 Farm House,6
2021,December,Ballarat,1 Residential,12 Dwelling  - non-private,121 Boarding House,14
2021,December,Ballarat,1 Residential,12 Dwelling  - non-private,122 Holiday Home,12
2021,December,Ballarat,1 Residential,12 Dwelling  - non-private,123 Guest House,9
2021,December,Ballarat,1 Residential,12 Dwelling  - non-private,124 Nursing Home,5
2021,December,Ballarat,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,76
2021,December,Ballarat,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,18
2021,December,Ballarat,1 Residential,13 Grounds/surrounding land,1310 Farm Building,2
2021,December,Ballarat,1 Residential,13 Grounds/surrounding land,132 Backyard,102
2021,December,Ballarat,1 Residential,13 Grounds/surrounding land,133 Frontyard,242
2021,December,Ballarat,1 Residential,13 Grounds/surrounding land,134 Garage,75
2021,December,Ballarat,1 Residential,13 Grounds/surrounding land,135 Shed,65
2021,December,Ballarat,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,54
2021,December,Ballarat,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),40
2021,December,Ballarat,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,583
2021,December,Ballarat,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,30
2021,December,Ballarat,2 Community,21 Education,211 School,75
2021,December,Ballarat,2 Community,21 Education,212 School Grounds,43
2021,December,Ballarat,2 Community,21 Education,213 Other Educational,13
2021,December,Ballarat,2 Community,22 Health,221 Hospital,44
2021,December,Ballarat,2 Community,22 Health,222 Medical Centre,14
2021,December,Ballarat,2 Community,22 Health,224 Other Health,27
2021,December,Ballarat,2 Community,23 Religious,231 Church,10
2021,December,Ballarat,2 Community,23 Religious,232 Other religious,3
2021,December,Ballarat,2 Community,24 Public Transport,241 Train,1
2021,December,Ballarat,2 Community,24 Public Transport,242 Train Station,37
2021,December,Ballarat,2 Community,24 Public Transport,243 Railway Carpark,18
2021,December,Ballarat,2 Community,24 Public Transport,245 Bus/Bus Stop,46
2021,December,Ballarat,2 Community,24 Public Transport,246 Depot/Terminal,2
2021,December,Ballarat,2 Community,24 Public Transport,249 Taxi,5
2021,December,Ballarat,2 Community,25 Other Transport,251 Private Car,10
2021,December,Ballarat,2 Community,25 Other Transport,255 Carpark (Single Level),176
2021,December,Ballarat,2 Community,25 Other Transport,256 Carpark (Multi Level),10
2021,December,Ballarat,2 Community,25 Other Transport,257 Other Transport Type/Area,6
2021,December,Ballarat,2 Community,26 Justice,261 Police Station,40
2021,December,Ballarat,2 Community,26 Justice,262 Court,88
2021,December,Ballarat,2 Community,26 Justice,265 Other Justice Facility,3
2021,December,Ballarat,2 Community,26 Justice,269 Other Justice (nec),6
2021,December,Ballarat,2 Community,27 Open Space,271 Parkland/Reserve,111
2021,December,Ballarat,2 Community,27 Open Space,272 Rural,13
2021,December,Ballarat,2 Community,27 Open Space,273 Vacant Block,5
2021,December,Ballarat,2 Community,27 Open Space,275 Other Open Space,40
2021,December,Ballarat,2 Community,28 Street/footpath,281 Street/Lane/Footpath,"1,728"
2021,December,Ballarat,2 Community,29 Other community location,291 Cemetery,6
2021,December,Ballarat,2 Community,29 Other community location,292 Civic Centre,5
2021,December,Ballarat,2 Community,29 Other community location,294 Car Wash,12
2021,December,Ballarat,3 Other,31 Admin/professional,311 Business Office,52
2021,December,Ballarat,3 Other,31 Admin/professional,312 Other Admin/Professional,11
2021,December,Ballarat,3 Other,32 Financial,321 Bank,5
2021,December,Ballarat,3 Other,32 Financial,323 ATM/Eftpos,4
2021,December,Ballarat,3 Other,32 Financial,324 Other Financial,2
2021,December,Ballarat,3 Other,33 Retail,331 Chemist/Pharmacy,20
2021,December,Ballarat,3 Other,33 Retail,3310 24Hr Convenience,17
2021,December,Ballarat,3 Other,33 Retail,3311 Restaurant/Fastfood,92
2021,December,Ballarat,3 Other,33 Retail,3312 Other Retail,346
2021,December,Ballarat,3 Other,33 Retail,332 Service Station,339
2021,December,Ballarat,3 Other,33 Retail,334 2nd Hand Dealer,14
2021,December,Ballarat,3 Other,33 Retail,335 Supermarket,141
2021,December,Ballarat,3 Other,33 Retail,336 Department Store,82
2021,December,Ballarat,3 Other,33 Retail,337 Shopping Complex,245
2021,December,Ballarat,3 Other,33 Retail,338 Car Sales Yard,60
2021,December,Ballarat,3 Other,33 Retail,339 Milkbar,7
2021,December,Ballarat,3 Other,34 Wholesale,341 Any Wholesale,2
2021,December,Ballarat,3 Other,35 Warehousing/storage,351 Warehousing/Storage,36
2021,December,Ballarat,3 Other,36 Manufacturing,361 Factory,38
2021,December,Ballarat,3 Other,36 Manufacturing,362 Any Manufacturing,17
2021,December,Ballarat,3 Other,37 Agricultural,371 Farmland/Agricultural,29
2021,December,Ballarat,3 Other,37 Agricultural,373 Other Agricultural,3
2021,December,Ballarat,3 Other,38 Recreational,381 Licensed Premises,115
2021,December,Ballarat,3 Other,38 Recreational,382 Tab,4
2021,December,Ballarat,3 Other,38 Recreational,383 Cinema,1
2021,December,Ballarat,3 Other,38 Recreational,384 Sport Area/Facility,40
2021,December,Ballarat,3 Other,38 Recreational,385 Gaming Venue,24
2021,December,Ballarat,3 Other,38 Recreational,386 Other Rec./Sports,30
2021,December,Ballarat,3 Other,39 Other location,392 Other Location (Not Elsewhere),225
2021,December,Ballarat,3 Other,39 Other location,393 Construction Site,22
2021,December,Ballarat,3 Other,39 Other location,394 Veterinary Clinic,2
2021,December,Banyule,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,510
2021,December,Banyule,1 Residential,11 Dwelling - private,112 House,"2,199"
2021,December,Banyule,1 Residential,11 Dwelling - private,113 Bungalow,4
2021,December,Banyule,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,2
2021,December,Banyule,1 Residential,11 Dwelling - private,116 Ministry Of Housing,36
2021,December,Banyule,1 Residential,12 Dwelling  - non-private,121 Boarding House,12
2021,December,Banyule,1 Residential,12 Dwelling  - non-private,122 Holiday Home,1
2021,December,Banyule,1 Residential,12 Dwelling  - non-private,123 Guest House,1
2021,December,Banyule,1 Residential,12 Dwelling  - non-private,124 Nursing Home,9
2021,December,Banyule,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,22
2021,December,Banyule,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,3
2021,December,Banyule,1 Residential,13 Grounds/surrounding land,1310 Farm Building,1
2021,December,Banyule,1 Residential,13 Grounds/surrounding land,132 Backyard,49
2021,December,Banyule,1 Residential,13 Grounds/surrounding land,133 Frontyard,157
2021,December,Banyule,1 Residential,13 Grounds/surrounding land,134 Garage,55
2021,December,Banyule,1 Residential,13 Grounds/surrounding land,135 Shed,17
2021,December,Banyule,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,30
2021,December,Banyule,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),26
2021,December,Banyule,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,330
2021,December,Banyule,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,50
2021,December,Banyule,2 Community,21 Education,211 School,61
2021,December,Banyule,2 Community,21 Education,212 School Grounds,41
2021,December,Banyule,2 Community,21 Education,213 Other Educational,4
2021,December,Banyule,2 Community,22 Health,221 Hospital,99
2021,December,Banyule,2 Community,22 Health,222 Medical Centre,20
2021,December,Banyule,2 Community,22 Health,223 Dental,1
2021,December,Banyule,2 Community,22 Health,224 Other Health,35
2021,December,Banyule,2 Community,23 Religious,231 Church,7
2021,December,Banyule,2 Community,24 Public Transport,241 Train,14
2021,December,Banyule,2 Community,24 Public Transport,242 Train Station,108
2021,December,Banyule,2 Community,24 Public Transport,243 Railway Carpark,41
2021,December,Banyule,2 Community,24 Public Transport,245 Bus/Bus Stop,24
2021,December,Banyule,2 Community,24 Public Transport,246 Depot/Terminal,1
2021,December,Banyule,2 Community,24 Public Transport,249 Taxi,6
2021,December,Banyule,2 Community,25 Other Transport,251 Private Car,5
2021,December,Banyule,2 Community,25 Other Transport,252 Airfield,1
2021,December,Banyule,2 Community,25 Other Transport,255 Carpark (Single Level),156
2021,December,Banyule,2 Community,25 Other Transport,256 Carpark (Multi Level),26
2021,December,Banyule,2 Community,25 Other Transport,257 Other Transport Type/Area,6
2021,December,Banyule,2 Community,26 Justice,261 Police Station,115
2021,December,Banyule,2 Community,26 Justice,262 Court,479
2021,December,Banyule,2 Community,26 Justice,265 Other Justice Facility,3
2021,December,Banyule,2 Community,26 Justice,269 Other Justice (nec),5
2021,December,Banyule,2 Community,27 Open Space,271 Parkland/Reserve,98
2021,December,Banyule,2 Community,27 Open Space,273 Vacant Block,1
2021,December,Banyule,2 Community,27 Open Space,275 Other Open Space,5
2021,December,Banyule,2 Community,28 Street/footpath,281 Street/Lane/Footpath,"1,113"
2021,December,Banyule,2 Community,29 Other community location,291 Cemetery,1
2021,December,Banyule,2 Community,29 Other community location,292 Civic Centre,5
2021,December,Banyule,2 Community,29 Other community location,294 Car Wash,1
2021,December,Banyule,3 Other,31 Admin/professional,311 Business Office,19
2021,December,Banyule,3 Other,31 Admin/professional,312 Other Admin/Professional,9
2021,December,Banyule,3 Other,32 Financial,321 Bank,11
2021,December,Banyule,3 Other,32 Financial,323 ATM/Eftpos,3
2021,December,Banyule,3 Other,32 Financial,324 Other Financial,2
2021,December,Banyule,3 Other,33 Retail,331 Chemist/Pharmacy,38
