Year,Year ending,Sex,Age Group,Offence Division,Alleged Offender Incidents
2021,December,Females,10-14 years,A Crimes against the person,657
2021,December,Females,10-14 years,B Property and deception offences,557
2021,December,Females,10-14 years,C Drug offences,21
2021,December,Females,10-14 years,D Public order and security offences,53
2021,December,Females,10-14 years,E Justice procedures offences,47
2021,December,Females,10-14 years,F Other offences,13
2021,December,Females,15-17 years,A Crimes against the person,"1,112"
2021,December,Females,15-17 years,B Property and deception offences,"1,216"
2021,December,Females,15-17 years,C Drug offences,103
2021,December,Females,15-17 years,D Public order and security offences,109
2021,December,Females,15-17 years,E Justice procedures offences,144
2021,December,Females,15-17 years,F Other offences,164
2021,December,Females,18-19 years,A Crimes against the person,564
2021,December,Females,18-19 years,B Property and deception offences,595
2021,December,Females,18-19 years,C Drug offences,149
2021,December,Females,18-19 years,D Public order and security offences,121
2021,December,Females,18-19 years,E Justice procedures offences,139
2021,December,Females,18-19 years,F Other offences,281
2021,December,Females,20-24 years,A Crimes against the person,"1,141"
2021,December,Females,20-24 years,B Property and deception offences,"1,265"
2021,December,Females,20-24 years,C Drug offences,517
2021,December,Females,20-24 years,D Public order and security offences,235
2021,December,Females,20-24 years,E Justice procedures offences,610
2021,December,Females,20-24 years,F Other offences,694
2021,December,Females,25-29 years,A Crimes against the person,"1,222"
2021,December,Females,25-29 years,B Property and deception offences,"1,740"
2021,December,Females,25-29 years,C Drug offences,625
2021,December,Females,25-29 years,D Public order and security offences,303
2021,December,Females,25-29 years,E Justice procedures offences,779
2021,December,Females,25-29 years,F Other offences,455
2021,December,Females,30-34 years,A Crimes against the person,"1,207"
2021,December,Females,30-34 years,B Property and deception offences,"1,756"
2021,December,Females,30-34 years,C Drug offences,582
2021,December,Females,30-34 years,D Public order and security offences,253
2021,December,Females,30-34 years,E Justice procedures offences,856
2021,December,Females,30-34 years,F Other offences,349
2021,December,Females,35-39 years,A Crimes against the person,"1,041"
2021,December,Females,35-39 years,B Property and deception offences,"1,526"
2021,December,Females,35-39 years,C Drug offences,453
2021,December,Females,35-39 years,D Public order and security offences,251
2021,December,Females,35-39 years,E Justice procedures offences,776
2021,December,Females,35-39 years,F Other offences,226
2021,December,Females,40-44 years,A Crimes against the person,953
2021,December,Females,40-44 years,B Property and deception offences,"1,140"
2021,December,Females,40-44 years,C Drug offences,355
2021,December,Females,40-44 years,D Public order and security offences,171
2021,December,Females,40-44 years,E Justice procedures offences,671
2021,December,Females,40-44 years,F Other offences,205
2021,December,Females,45-49 years,A Crimes against the person,769
2021,December,Females,45-49 years,B Property and deception offences,661
2021,December,Females,45-49 years,C Drug offences,209
2021,December,Females,45-49 years,D Public order and security offences,167
2021,December,Females,45-49 years,E Justice procedures offences,585
2021,December,Females,45-49 years,F Other offences,190
2021,December,Females,50-54 years,A Crimes against the person,533
2021,December,Females,50-54 years,B Property and deception offences,488
2021,December,Females,50-54 years,C Drug offences,130
2021,December,Females,50-54 years,D Public order and security offences,78
2021,December,Females,50-54 years,E Justice procedures offences,357
2021,December,Females,50-54 years,F Other offences,181
2021,December,Females,55-59 years,A Crimes against the person,307
2021,December,Females,55-59 years,B Property and deception offences,238
2021,December,Females,55-59 years,C Drug offences,65
2021,December,Females,55-59 years,D Public order and security offences,43
2021,December,Females,55-59 years,E Justice procedures offences,189
2021,December,Females,55-59 years,F Other offences,85
2021,December,Females,60-64 years,A Crimes against the person,155
2021,December,Females,60-64 years,B Property and deception offences,124
2021,December,Females,60-64 years,C Drug offences,24
2021,December,Females,60-64 years,D Public order and security offences,16
2021,December,Females,60-64 years,E Justice procedures offences,75
2021,December,Females,60-64 years,F Other offences,57
2021,December,Females,65 years and over,A Crimes against the person,173
2021,December,Females,65 years and over,B Property and deception offences,153
2021,December,Females,65 years and over,C Drug offences,16
2021,December,Females,65 years and over,D Public order and security offences,15
2021,December,Females,65 years and over,E Justice procedures offences,94
2021,December,Females,65 years and over,F Other offences,73
2021,December,Males,10-14 years,A Crimes against the person,"1,129"
2021,December,Males,10-14 years,B Property and deception offences,"1,630"
2021,December,Males,10-14 years,C Drug offences,52
2021,December,Males,10-14 years,D Public order and security offences,225
2021,December,Males,10-14 years,E Justice procedures offences,74
2021,December,Males,10-14 years,F Other offences,31
2021,December,Males,15-17 years,A Crimes against the person,"2,727"
2021,December,Males,15-17 years,B Property and deception offences,"4,181"
2021,December,Males,15-17 years,C Drug offences,444
2021,December,Males,15-17 years,D Public order and security offences,666
2021,December,Males,15-17 years,E Justice procedures offences,357
2021,December,Males,15-17 years,F Other offences,344
2021,December,Males,18-19 years,A Crimes against the person,"1,794"
2021,December,Males,18-19 years,B Property and deception offences,"2,075"
2021,December,Males,18-19 years,C Drug offences,619
