,Suburbs,Country,Lat,Lng
0,Abbotsford,AU,-33.85,151.1333
1,Aberfeldie,AU,-37.7596,144.8975
2,Acheron,AU,-37.25,145.7
3,Adams Estate,N/A,N/A,N/A
4,Adelaide Lead,AU,-37.0667,143.6833
5,Agnes,N/A,N/A,N/A
6,Aireys Inlet,AU,-38.4667,144.1
7,Airly,AU,-33.0983,150.0511
8,Airport West,AU,-37.7223,144.8835
9,Albacutya,N/A,N/A,N/A
10,Albanvale,AU,-37.7461,144.7686
11,Albert Park,AU,-34.8753,138.5227
12,Alberton,AU,-34.8566,138.5137
13,Albion,AU,-27.4304,153.0421
14,Alexandra,AU,-37.1833,145.7
15,Alfredton,AU,-37.5667,143.8167
16,Allans Flat,N/A,N/A,N/A
17,Allansford,AU,-38.4,142.5833
18,Allendale,AU,-37.3667,143.9333
19,Alma,N/A,N/A,N/A
20,Almurta,AU,-38.45,145.5667
21,Alphington,AU,-37.7804,145.0309
22,Altona,AU,-37.8696,144.8304
23,Altona Meadows,AU,-37.8814,144.7845
24,Altona North,AU,-37.8378,144.8343
25,Alvie,AU,-38.2333,143.5
26,Amherst,AU,-37.1458,143.6686
27,Amphitheatre,AU,-37.1667,143.4167
28,Anakie,AU,-37.9167,144.25
29,Anglesea,AU,-38.4167,144.1667
30,Annuello,AU,-34.8546,142.8318
31,Apollo Bay,AU,-38.75,143.65
32,Appin,AU,-34.2,150.7833
33,Apsley,AU,-36.9667,141.0833
34,Ararat,AU,-37.2833,142.9333
35,Arcadia,AU,-33.6227,151.0606
36,Arcadia South,N/A,N/A,N/A
37,Archdale Junction,N/A,N/A,N/A
38,Archies Creek,AU,-38.55,145.5667
39,Ardeer,AU,-37.7759,144.8015
40,Ardmona,N/A,N/A,N/A
41,Argyle,AU,-36.95,144.7333
42,Armadale,AU,-32.15,116
43,Armstrong,AU,-37.2167,142.9
44,Armstrong Creek,AU,-27.2167,152.8333
45,Arnold,AU,-36.6833,143.8667
46,Arthurs Creek,AU,-37.5833,145.2
47,Arthurs Seat,AU,-38.3543,144.9537
48,Ascot,AU,-36.7,144.3333
49,Ascot Vale,AU,-37.7833,144.9167
50,Ashbourne,AU,-35.3,138.7667
51,Ashburton,AU,-37.8626,145.0794
52,Ashwood,AU,-37.8666,145.1055
53,Aspendale,AU,-38.0291,145.1027
54,Aspendale Gardens,AU,-38.0228,145.118
55,Athlone,AU,-38.2333,145.7667
56,Attwood,AU,-37.6696,144.8867
57,Avalon,AU,-38.0845,144.4259
58,Avenel,AU,-36.9,145.2333
59,Avoca,AU,-37.0833,143.4833
60,Avondale Heights,AU,-37.7615,144.8621
61,Avonsleigh,AU,-37.9333,145.4667
62,Axe Creek,N/A,N/A,N/A
63,Axedale,AU,-36.8,144.5167
64,Ayrford,N/A,N/A,N/A
65,Bacchus Marsh,AU,-37.6727,144.4383
66,Baddaginnie,AU,-36.5833,145.8667
67,Badger Creek,AU,-37.7,145.5167
68,Bagshot,AU,-36.65,144.4167
69,Bailieston,AU,-36.7333,145.05
70,Bairnsdale,AU,-37.8333,147.6167
71,Bakery Hill,AU,-37.5635,143.8658
72,Balaclava,AU,-37.8692,144.9977
73,Ballan,AU,-37.6,144.25
74,Ballangeich,AU,-38.2167,142.6667
75,Ballarat Central,AU,-37.5621,143.8508
76,Ballarat East,AU,-37.5592,143.8744
77,Ballarat North,AU,-37.5188,143.7728
78,Ballendella,AU,-36.3,144.65
79,Balliang,AU,-37.8333,144.3667
80,Balliang East,AU,-37.7833,144.45
81,Balmattum,AU,-36.7,145.65
82,Balmoral,AU,-37.25,141.85
83,Balnarring,AU,-38.3667,145.1333
84,Balnarring Beach,AU,-38.3912,145.1201
85,Balwyn,AU,-37.8092,145.0834
86,Balwyn North,AU,-37.7909,145.0939
87,Bamawm,N/A,N/A,N/A
88,Bamawm Extension,AU,-36.2167,144.6
89,Bambra,AU,-38.3667,143.9333
90,Bandiana,AU,-36.15,146.9333
91,Bangerang,AU,-36.2,142.5833
92,Bangholme,AU,-38.0484,145.1721
93,Bannerton,AU,-34.7,142.7833
94,Bannockburn,AU,-38.05,144.1667
95,Baranduda,AU,-36.2,146.9667
96,Barfold,AU,-37.0833,144.5167
97,Baringhup,AU,-36.9833,143.9667
98,Barjarg,N/A,N/A,N/A
99,Barkers Creek,AU,-37.0167,144.25
100,Barmah,AU,-36.0167,144.9667
101,Barnawartha,AU,-36.1,146.6667
102,Barnawartha North,N/A,N/A,N/A
103,Barongarook,AU,-38.4167,143.6
104,Barongarook West,N/A,N/A,N/A
105,Barrakee,N/A,N/A,N/A
106,Barramunga,N/A,N/A,N/A
107,Barraport,AU,-36.0167,143.6833
108,Barrys Reef,AU,-37.4667,144.3
109,Barwite,AU,-37,146.1667
